name_product,category_product_name,description_product,price_product,stock,rating_product
DogLemi Dog Shammy Towels ,Hygiene, Glove Quick Drying Dogs paw Towel Chenille Microfiber Pet Dirty Dogs Grooming Mitt for Large Medium Small Pet Super Absorbent Machine Washable 2 Pack  ,15.99,100,4
Furhaven Steady Paws,Toys, Easy Multi-Step Pet Stairs for High Beds Sofas and Furniture for Small Medium and Large Dogs and Cats Multiple Colors and Sizes  ,64.99,100,4.6 out of 5 stars
Dog Car Seat   ,Accesories,Cover for Back Seat  Waterproof Durable Dog Hammock for Car with Mesh Window Scratchproof Nonslip Pet Seat Covers for Cars Trucks and SUVs, 26.98,100,4.7 out of 5 stars
fuguitex Waterproof Dog Blanket   ,Home,Bed Anti-Slip Cover Fleece Lightweight Plush Fuzzy Cozy Plush Pet Blanket Throw Blanket for Couch Sofa,22.99,100,4.8 out of 5 stars
Neater Pet Brands Neater Mat  ,Home,- Waterproof Silicone Pet Bowls Mat - Protect Floors from Food & Water ,18.99,100,4.6 out of 5 stars
Lint Rollers Value   ,Home,Pack of 450 Sheets / 5 Refills Sticky Roller Lint Remover for Dog Cat Pet Hair Lint Rollers for Clothes Carpet Couch Furniture Car Seats,14.99,100,4.3 out of 5 stars
Vip Pets  ,Food,Pet food,0.99,100,4.5 out of 5 stars
Lesure Plush Squeaky Dog   ,Toys,Toys for Large Dogs - Durable Stuffed Dog Toys with Tough Rope and Crinkle Paper for Puppies Small Medium Large Pets,15.99,100,4.1 out of 5 stars
Ruff 'n Ruffus Portable Foldable   ,Accesories,Pet Playpen + Free Carrying Case + Free Travel Bowl | Available in 3 Sizes Indoor/Outdoor Water-Resistant Removable Shade Cover,38.97,100,4.3 out of 5 stars
fiddo Dog Nail Grinder   ,Accesories,- Rechargeable Pet Nail Trimmer for Cat Quiet Painless Electric Nail File for Large Medium Small Dogs and Cats,19.99,100,4.6 out of 5 stars
Yes I Have Pets: Deal. With. It.  ,Home,product for pets,9.99,100,4.6 out of 5 stars
Furhaven Orthopedic Cooling Gel and Memory Foam Pet Beds ",Hygiene, for Small Medium and Large Dogs - Ergonomic Contour Luxe Lounger Dog Bed Mattress and More ,66.99,100,4.5 out of 5 stars
Analan Mini Pet Hair Remover  ,Hygiene,for Car Detailing Supplies, Carpet Dog Hair Remover for Car Interior, Triangle Dog Hair Remover for Auto Detailing, Couch, Furniture, Lint, Carpet ,15.99,100,4.6 out of 5 stars
SEERWAY Scat Pet Shock Mat ,Home,Indoor Upgraded Safe Shock Training Pads for Dogs and Cats Electric Repellent Zap Mat Keeps Pets Off Couch Sofa Counter 3 Training Modes  ,33.99,100,4.2 out of 5 stars
